Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Posso financiar com o meu banco?	Sim, você pode financiar seu veículo com o banco de sua preferência. Também oferecemos parcerias com instituições financeiras para facilitar o processo.	Editorial		[]	False	[]	4359	
Quais documentos são necessários para o financiamento?	Os documentos geralmente necessários para o financiamento incluem RG, CPF, comprovante de residência, comprovante de renda e comprovante de estado civil. Entre em contato para uma lista completa.	Editorial		[]	False	[]	4360	
Vocês aceitam entrada de um carro como parte do pagamento?	Sim, aceitamos a troca do seu carro como parte do pagamento. Avaliamos seu veículo para oferecer o melhor valor possível.	Editorial		[]	False	[]	4361	
Qual é o valor mínimo para entrada no financiamento?	O valor mínimo para entrada no financiamento varia de acordo com o modelo do veículo e as condições do financiamento. Consulte-nos para obter informações específicas.	Editorial		[]	False	[]	4362	
Vocês têm parcerias com bancos?	Sim, temos parcerias com diversos bancos para oferecer as melhores condições de financiamento aos nossos clientes.	Editorial		[]	False	[]	4363	
Qual é o prazo máximo para financiamento?	O prazo máximo para financiamento pode chegar até 60 meses, dependendo do modelo do veículo e das condições oferecidas pela instituição financeira.	Editorial		[]	False	[]	4364	
Posso fazer uma simulação de financiamento?	Sim, oferecemos ferramentas de simulação de financiamento em nosso site ou você pode falar diretamente com nosso departamento financeiro para uma simulação personalizada.	Editorial		[]	False	[]	4365	
Existe algum desconto para pagamento à vista?	Sim, oferecemos descontos especiais para clientes que optam pelo pagamento à vista. Entre em contato para conhecer as condições.	Editorial		[]	False	[]	4366	
Vocês aceitam cartão de crédito?	Sim, aceitamos pagamento com cartão de crédito em diversas parcelas, conforme as políticas da loja e do seu banco.	Editorial		[]	False	[]	4367	
Quais são as condições de parcelamento?	As condições de parcelamento variam de acordo com o modelo do veículo e as opções de financiamento disponíveis. Consulte-nos para obter uma proposta personalizada.	Editorial		[]	False	[]	4368	
É possível pagar com transferência bancária?	Sim, aceitamos pagamentos via transferência bancária. Entre em contato para obter os detalhes da nossa conta bancária.	Editorial		[]	False	[]	4369	
Como posso verificar o meu crédito para financiamento?	Você pode verificar seu crédito entrando em contato com nosso departamento financeiro ou diretamente com a instituição financeira parceira.	Editorial		[]	False	[]	4370	
Vocês fazem análise de crédito?	Sim, realizamos uma análise de crédito para oferecer as melhores condições de financiamento de acordo com o perfil do cliente.	Editorial		[]	False	[]	4371	
Posso financiar mesmo com restrição no nome?	Dependendo da extensão das restrições, pode ser possível financiar um veículo. Recomendamos agendar uma consulta para avaliar sua situação.	Editorial		[]	False	[]	4372	
Vocês oferecem consórcio para compra de veículos?	Sim, oferecemos opções de consórcio para a compra de veículos. Entre em contato para saber mais sobre as condições e como participar.	Editorial		[]	False	[]	4373	
É possível financiar um carro usado?	Sim, oferecemos financiamento para veículos usados, com condições específicas que variam conforme o modelo e o estado do veículo.	Editorial		[]	False	[]	4374	
Qual é a entrada mínima necessária?	A entrada mínima varia de acordo com o modelo do veículo e as condições do financiamento. Consulte-nos para obter informações específicas.	Editorial		[]	False	[]	4375	
Vocês fazem financiamento sem entrada?	Em algumas condições específicas, é possível financiar um veículo sem entrada. Entre em contato para verificar se você se enquadra nas condições.	Editorial		[]	False	[]	4376	
Os carros são revisados antes da venda?	Sim, todos os nossos veículos passam por uma rigorosa revisão técnica antes de serem disponibilizados para venda, garantindo sua qualidade e segurança.	Editorial		[]	False	[]	4377	
Vocês têm o histórico de manutenção dos carros?	Sim, disponibilizamos o histórico de manutenção de todos os veículos seminovos para que você possa verificar o cuidado que cada carro recebeu.	Editorial		[]	False	[]	4378	
Os veículos possuem garantia?	Sim, oferecemos garantia padrão para todos os veículos novos e opções de garantia estendida para veículos seminovos.	Editorial		[]	False	[]	4379	
Qual é a quilometragem média dos carros?	A quilometragem média dos nossos veículos seminovos varia, mas garantimos que todos estão dentro dos padrões de qualidade e com baixa quilometragem. Consulte-nos para detalhes específicos.	Editorial		[]	False	[]	4380	
Vocês oferecem garantia estendida?	Sim, oferecemos opções de garantia estendida para proporcionar maior tranquilidade e proteção ao seu veículo.	Editorial		[]	False	[]	4381	
Os carros passaram por vistoria?	Sim, todos os nossos veículos, especialmente os seminovos, passam por uma vistoria completa para assegurar sua qualidade e procedência.	Editorial		[]	False	[]	4382	
Vocês garantem a procedência dos veículos?	Sim, garantimos a procedência de todos os nossos veículos, assegurando que não possuem pendências legais ou mecânicas.	Editorial		[]	False	[]	4383	
Os veículos são de único dono?	Alguns dos nossos veículos seminovos são de único dono. Entre em contato para verificar a procedência do modelo de seu interesse.	Editorial		[]	False	[]	4384	
Qual é a condição dos pneus?	Todos os nossos veículos possuem pneus em bom estado, com a profundidade de banda de rodagem dentro das normas de segurança.	Editorial		[]	False	[]	4385	
Existe algum tipo de inspeção técnica realizada?	Sim, realizamos inspeções técnicas completas em todos os veículos para garantir sua segurança e desempenho.	Editorial		[]	False	[]	4386	
Posso verificar o laudo do veículo?	Sim, disponibilizamos o laudo de inspeção de cada veículo para que você possa verificar todos os detalhes técnicos e de segurança.	Editorial		[]	False	[]	4387	
Como saber se o carro já teve sinistro?	Todos os nossos veículos passam por uma análise detalhada de histórico para garantir que não possuem registros de sinistros. Podemos fornecer um relatório completo mediante solicitação.	Editorial		[]	False	[]	4388	
Vocês vendem apenas veículos com IPVA pago?	Sim, todos os veículos vendidos possuem o IPVA quitado, garantindo uma transação segura e sem pendências para o comprador.	Editorial		[]	False	[]	4389	
Os carros possuem pintura original?	Sim, garantimos que todos os veículos possuem a pintura original ou, em casos de reparo, utilizamos materiais de alta qualidade para manter a integridade estética.	Editorial		[]	False	[]	4390	
Existe alguma restrição administrativa no carro?	Realizamos uma verificação completa para assegurar que os veículos não possuem restrições administrativas. Caso haja alguma, informaremos ao cliente.	Editorial		[]	False	[]	4391	
O carro já foi leiloado?	Não, todos os nossos veículos são adquiridos de fontes confiáveis e não participam de leilões, garantindo sua qualidade e procedência.	Editorial		[]	False	[]	4392	
Como saber se o veículo é de repasse ou venda direta?	Informamos claramente a procedência de cada veículo no momento da venda. Você pode solicitar essa informação antes de finalizar a compra.	Editorial		[]	False	[]	4393	
O carro já foi taxado?	Sim, todos os veículos passam por uma taxação completa para garantir que estão em conformidade com as normas de trânsito e segurança.	Editorial		[]	False	[]	4394	
Vocês fazem revisão antes da entrega?	Sim, realizamos uma revisão final em todos os veículos antes da entrega ao cliente para garantir que tudo esteja em perfeito estado.	Editorial		[]	False	[]	4395	
Posso ver o histórico de revisões?	Sim, disponibilizamos o histórico completo de revisões e manutenções de cada veículo para sua total transparência e segurança.	Editorial		[]	False	[]	4396	
Posso agendar um test drive?	Claro! Você pode agendar um test drive entrando em contato conosco pelo telefone ou através do nosso site.	Editorial		[]	False	[]	4397	
Vocês fazem test drive aos finais de semana?	Sim, oferecemos horários flexíveis para test drives, incluindo finais de semana. Entre em contato para agendar o seu.	Editorial		[]	False	[]	4398	
Posso levar um mecânico para avaliar o carro?	Sim, você pode levar um mecânico de sua confiança para avaliar o veículo durante o test drive.	Editorial		[]	False	[]	4399	
Vocês têm uma unidade física para visitação?	Sim, temos uma unidade física onde você pode visitar, conhecer nossos veículos e conversar com nossa equipe. Confira o endereço em nosso site.	Editorial		[]	False	[]	4400	
Qual o horário de funcionamento da loja?	Nossa loja está aberta de segunda a sexta das 9h às 18h e aos sábados das 9h às 14h. Feriados podem ter horários diferenciados.	Editorial		[]	False	[]	4401	
Vocês oferecem test drive gratuito?	Sim, oferecemos test drives gratuitos para que você possa experimentar o veículo antes de tomar sua decisão de compra.	Editorial		[]	False	[]	4402	
Qual é o procedimento para agendar um test drive?	Para agendar um test drive, basta entrar em contato conosco pelo telefone, e-mail ou através do nosso site e escolher o modelo de seu interesse.	Editorial		[]	False	[]	4403	
Preciso levar algum documento para o test drive?	Sim, solicitamos que você traga uma carteira de motorista válida e um documento de identidade para realizar o test drive.	Editorial		[]	False	[]	4404	
Posso ver o carro pessoalmente antes de comprar?	Claro! Você pode visitar nossa loja para ver os veículos pessoalmente, inspecionar suas condições e tirar todas as suas dúvidas.	Editorial		[]	False	[]	4405	
Vocês atendem fora do horário comercial?	Normalmente atendemos durante nosso horário comercial, mas em casos especiais, podemos agendar atendimentos fora desse período. Entre em contato para verificar a disponibilidade.	Editorial		[]	False	[]	4406	
Posso fazer uma inspeção completa antes da compra?	Sim, você pode realizar uma inspeção completa no veículo de sua preferência antes de efetuar a compra. Estamos à disposição para facilitar esse processo.	Editorial		[]	False	[]	4407	
O test drive é com acompanhamento de um vendedor?	Sim, um de nossos vendedores estará acompanhando o test drive para fornecer informações adicionais e responder a quaisquer perguntas que você possa ter.	Editorial		[]	False	[]	4408	
Posso fazer um test drive em mais de um carro?	Sim, você pode agendar test drives para mais de um modelo. Basta nos informar quais veículos deseja testar.	Editorial		[]	False	[]	4409	
Vocês têm estacionamento para clientes?	Sim, dispomos de estacionamento gratuito para clientes que visitam nossa loja.	Editorial		[]	False	[]	4410	
Posso fazer o test drive em um percurso urbano e rodoviário?	Sim, podemos ajustar o percurso do test drive para incluir tanto áreas urbanas quanto rodoviárias, conforme sua preferência.	Editorial		[]	False	[]	4411	
É necessário marcar com antecedência?	Recomendamos agendar o test drive com antecedência para garantir disponibilidade do modelo escolhido e do horário desejado.	Editorial		[]	False	[]	4412	
Existe limite de tempo para o test drive?	O test drive geralmente tem duração de 30 minutos a 1 hora, dependendo do modelo e das necessidades do cliente.	Editorial		[]	False	[]	4413	
Vocês entregam o carro no test drive?	Sim, o carro será entregue a você durante o test drive, acompanhado por um de nossos vendedores.	Editorial		[]	False	[]	4414	
Posso testar a aceleração do carro?	Durante o test drive, você pode testar a aceleração do carro dentro das normas de segurança e das leis de trânsito locais.	Editorial		[]	False	[]	4415	
Posso fazer o test drive em diferentes condições climáticas?	O test drive é realizado conforme as condições climáticas do momento. Se desejar experimentar o carro em diferentes condições, podemos agendar em dias apropriados.	Editorial		[]	False	[]	4416	
Vocês fazem troca com troco?	Sim, aceitamos trocas e troco, dependendo do valor do seu veículo de troca e do modelo que você deseja adquirir.	Editorial		[]	False	[]	4417	
Como funciona a avaliação do meu carro usado?	Nossa equipe realiza uma avaliação detalhada do seu carro usado, considerando fatores como estado de conservação, quilometragem, modelo e histórico de manutenção para oferecer o melhor valor.	Editorial		[]	False	[]	4418	
Posso fazer uma avaliação online?	Sim, oferecemos a opção de avaliação online. Basta preencher nosso formulário no site com os detalhes do seu veículo e entraremos em contato com uma proposta.	Editorial		[]	False	[]	4419	
Quais documentos são necessários para a avaliação?	Para a avaliação, geralmente solicitamos documentos como RG, CPF, CRV (Certificado de Registro do Veículo) e comprovante de residência. Consulte-nos para uma lista completa.	Editorial		[]	False	[]	4420	
Qual o valor médio de revenda?	O valor médio de revenda varia conforme o modelo, ano, condição e mercado. Nossa equipe pode fornecer uma estimativa personalizada após a avaliação do seu veículo.	Editorial		[]	False	[]	4421	
Vocês aceitam carros de qualquer marca?	Sim, aceitamos veículos de diversas marcas, desde que estejam em boas condições e sem restrições legais.	Editorial		[]	False	[]	4422	
Vocês fazem avaliação na hora?	Sim, realizamos avaliações imediatas no local para oferecer uma proposta rápida e justa pelo seu veículo.	Editorial		[]	False	[]	4423	
Posso trazer meu carro para avaliação sem compromisso?	Claro! Você pode trazer seu carro para uma avaliação sem compromisso e sem qualquer obrigação de venda.	Editorial		[]	False	[]	4424	
Vocês fazem pagamento imediato na troca?	Sim, oferecemos pagamento imediato na troca do seu veículo, dependendo das condições do negócio.	Editorial		[]	False	[]	4425	
Qual a diferença de valor entre compra e troca?	A diferença de valor entre compra e troca depende do valor do veículo que você está trazendo e do modelo que deseja adquirir. Nossa equipe pode fornecer uma avaliação detalhada.	Editorial		[]	False	[]	4426	
Posso utilizar o valor do meu carro como entrada?	Sim, o valor do seu carro pode ser utilizado como parte da entrada na compra de um novo veículo.	Editorial		[]	False	[]	4427	
Qual é a média de desvalorização?	A desvalorização média de um carro varia conforme o modelo, marca e condição. Nossa equipe pode fornecer informações específicas durante a avaliação.	Editorial		[]	False	[]	4428	
Vocês fazem análise de mercado para avaliar o carro?	Sim, realizamos uma análise de mercado para garantir que a avaliação do seu veículo seja justa e competitiva.	Editorial		[]	False	[]	4429	
O carro precisa estar em boas condições para ser aceito?	Sim, para ser aceito como troca, o veículo deve estar em boas condições mecânicas e estéticas, sem pendências legais.	Editorial		[]	False	[]	4430	
Vocês aceitam motos na troca?	Atualmente, focamos na compra e troca de automóveis. Motos não estão incluídas em nossos serviços de troca.	Editorial		[]	False	[]	4431	
Existe algum tipo de desconto na troca?	Sim, dependendo do veículo de troca e do modelo que você deseja adquirir, podemos oferecer descontos especiais. Consulte nossa equipe para mais detalhes.	Editorial		[]	False	[]	4432	
Posso trocar um carro financiado?	Sim, é possível trocar um carro que está financiado. Nossa equipe irá orientar sobre os procedimentos necessários para a quitação do financiamento atual.	Editorial		[]	False	[]	4433	
Vocês fazem compra direta de veículos?	Sim, realizamos a compra direta de veículos usados. Entre em contato conosco para mais informações e para agendar uma avaliação.	Editorial		[]	False	[]	4434	
Existe limite de quilometragem para aceitação?	Não há um limite rígido de quilometragem, mas veículos com baixa quilometragem geralmente recebem melhores propostas.	Editorial		[]	False	[]	4435	
Vocês aceitam carros com débitos?	Os veículos devem estar sem débitos ou com débitos regularizados para serem aceitos em troca.	Editorial		[]	False	[]	4436	
Vocês ajudam a contratar seguro?	Sim, nossa equipe pode auxiliá-lo na contratação de seguros através de nossas parcerias com seguradoras confiáveis.	Editorial		[]	False	[]	4437	
Qual é o custo médio do seguro?	O custo médio do seguro varia conforme o modelo do veículo, perfil do condutor e cobertura escolhida. Podemos fornecer uma cotação personalizada.	Editorial		[]	False	[]	4438	
Vocês oferecem alguma parceria com seguradoras?	Sim, temos parcerias com diversas seguradoras que nos permitem oferecer condições especiais para nossos clientes.	Editorial		[]	False	[]	4439	
Posso usar meu próprio corretor de seguros?	Sim, você pode utilizar o corretor de seguros de sua preferência. Nossa equipe também pode auxiliá-lo na contratação, se preferir.	Editorial		[]	False	[]	4440	
O que está incluso no seguro oferecido?	Nossos seguros incluem cobertura contra roubo, furto, colisões, danos a terceiros e assistência 24 horas. Consulte-nos para detalhes específicos.	Editorial		[]	False	[]	4441	
Vocês ajudam na transferência de documentos?	Sim, oferecemos assistência completa para a transferência de documentos, garantindo que todo o processo seja realizado de forma rápida e segura.	Editorial		[]	False	[]	4442	
Quais documentos preciso para finalizar a compra?	Para finalizar a compra, você precisará apresentar documentos como RG, CPF, comprovante de residência, comprovante de renda e, se for o caso, documentos do veículo a ser trocado.	Editorial		[]	False	[]	4443	
Vocês auxiliam com IPVA e licenciamento?	Sim, nossa equipe pode auxiliá-lo no pagamento do IPVA e no licenciamento do veículo, facilitando todo o processo de transferência.	Editorial		[]	False	[]	4444	
O seguro é obrigatório?	Sim, o seguro DPVAT é obrigatório para todos os veículos, garantindo cobertura básica em caso de acidentes.	Editorial		[]	False	[]	4445	
O valor do seguro muda dependendo do modelo?	Sim, o valor do seguro pode variar de acordo com o modelo do veículo, sua potência, valor de mercado e perfil do condutor.	Editorial		[]	False	[]	4446	
Como é feito o registro em meu nome?	Após a compra, nossa equipe auxiliará na transferência do veículo para o seu nome, cuidando de toda a documentação necessária.	Editorial		[]	False	[]	4447	
Quanto tempo leva para a transferência?	O processo de transferência geralmente leva entre 30 a 60 dias, dependendo da sua localidade e da agilidade dos órgãos competentes.	Editorial		[]	False	[]	4448	
O seguro cobre terceiros?	Sim, nossos seguros incluem cobertura contra danos a terceiros, garantindo proteção em caso de acidentes.	Editorial		[]	False	[]	4449	
Posso incluir acessórios no seguro?	Sim, é possível incluir acessórios no seguro, como som automotivo, pneus especiais, entre outros. Consulte-nos para mais detalhes.	Editorial		[]	False	[]	4450	
Vocês oferecem seguro para roubo e furto?	Sim, oferecemos seguros que cobrem roubo e furto, proporcionando maior segurança para o seu veículo.	Editorial		[]	False	[]	4451	
Vocês têm seguro para veículos financiados?	Sim, é possível contratar seguros específicos para veículos financiados, garantindo a proteção do bem até a quitação do financiamento.	Editorial		[]	False	[]	4452	
O valor do seguro está incluso no financiamento?	Em algumas condições, o valor do seguro pode ser incluído nas parcelas do financiamento. Consulte nossas opções para mais informações.	Editorial		[]	False	[]	4453	
A transferência é feita no ato da compra?	A transferência de propriedade não é realizada no ato da compra, mas nossa equipe auxiliará em todo o processo para que seja concluída o mais rápido possível.	Editorial		[]	False	[]	4454	
Posso parcelar o seguro?	Sim, oferecemos opções de parcelamento para o seguro, facilitando o pagamento de acordo com suas necessidades.	Editorial		[]	False	[]	4455	
Vocês fornecem cópias dos documentos?	Sim, fornecemos cópias dos documentos necessários para a compra e transferência do veículo.	Editorial		[]	False	[]	4456	
Qual é a cobertura da garantia?	Nossa garantia cobre defeitos de fabricação e problemas mecânicos nos primeiros meses após a compra. Consulte-nos para detalhes específicos.	Editorial		[]	False	[]	4457	
Vocês têm garantia estendida?	Sim, oferecemos garantia estendida que prolonga a cobertura além do período padrão, proporcionando maior tranquilidade.	Editorial		[]	False	[]	4458	
Quais são as opções de garantia disponíveis?	Disponibilizamos diversas opções de garantia estendida, com diferentes períodos e coberturas para atender às suas necessidades.	Editorial		[]	False	[]	4459	
Vocês oferecem manutenção após a venda?	Sim, oferecemos serviços de manutenção pós-venda para garantir que seu veículo esteja sempre em ótimo estado.	Editorial		[]	False	[]	4460	
Vocês oferecem assistência 24 horas?	Sim, nossos seguros incluem assistência 24 horas para emergências, garantindo suporte em qualquer situação.	Editorial		[]	False	[]	4461	
A garantia cobre problemas de motor?	Sim, a garantia inclui cobertura para problemas relacionados ao motor, assegurando reparos necessários sem custos adicionais.	Editorial		[]	False	[]	4462	
Existe alguma taxa adicional pela garantia?	A taxa adicional pela garantia estendida varia conforme a extensão e as coberturas escolhidas. Consulte-nos para uma cotação personalizada.	Editorial		[]	False	[]	4463	
Posso estender a garantia depois de comprar?	Sim, é possível estender a garantia após a compra do veículo. Entre em contato para conhecer as opções disponíveis.	Editorial		[]	False	[]	4464	
Vocês têm uma oficina própria?	Sim, dispomos de uma oficina própria equipada para realizar manutenções e reparos em nossos veículos.	Editorial		[]	False	[]	4465	
A garantia cobre a troca de peças?	Sim, a garantia inclui a troca de peças que apresentarem defeitos de fabricação dentro do período de cobertura.	Editorial		[]	False	[]	4466	
Vocês oferecem atendimento pós-venda?	Sim, nosso atendimento pós-venda está disponível para auxiliar com manutenções, dúvidas e quaisquer necessidades relacionadas ao seu veículo.	Editorial		[]	False	[]	4467	
Existe algum programa de fidelidade?	Sim, oferecemos programas de fidelidade que proporcionam benefícios exclusivos para nossos clientes recorrentes. Consulte-nos para mais detalhes.	Editorial		[]	False	[]	4468	
Qual é o período de cobertura da garantia?	O período de cobertura da garantia padrão é de 12 meses ou 20.000 km, o que ocorrer primeiro. Garantias estendidas possuem períodos diferentes.	Editorial		[]	False	[]	4469	
A garantia é válida em todo o Brasil?	Sim, nossa garantia é válida em todo o território nacional, garantindo suporte onde você estiver.	Editorial		[]	False	[]	4470	
Vocês têm plano de manutenção preventiva?	Sim, oferecemos planos de manutenção preventiva que ajudam a manter seu veículo em ótimo estado e prolongam sua vida útil.	Editorial		[]	False	[]	4471	
Posso trazer o carro para revisão na loja?	Sim, você pode trazer seu carro para revisões e manutenções em nossa loja. Nossa equipe está pronta para atendê-lo.	Editorial		[]	False	[]	4472	
Vocês oferecem recall?	Sim, caso haja recall em algum modelo que você adquiriu, nossa equipe irá notificá-lo e realizar os reparos necessários sem custo adicional.	Editorial		[]	False	[]	4473	
A garantia cobre acessórios?	Alguns acessórios podem ser cobertos pela garantia estendida. Consulte-nos para verificar quais itens estão inclusos.	Editorial		[]	False	[]	4474	
O pós-venda inclui lavagem de carro?	Nosso serviço de pós-venda inclui opções de lavagem e higienização do veículo mediante agendamento.	Editorial		[]	False	[]	4475	
Posso cancelar a garantia estendida?	Sim, é possível cancelar a garantia estendida dentro do período de carência estipulado. Entre em contato para mais informações.	Editorial		[]	False	[]	4476	
Posso devolver o carro se não gostar?	Possuímos uma política de devolução que permite a devolução do veículo dentro de um prazo específico, conforme as condições estabelecidas. Consulte nossos termos para mais detalhes.	Editorial		[]	False	[]	4477	
Existe política de arrependimento?	Sim, respeitamos o direito de arrependimento conforme o Código de Defesa do Consumidor, permitindo a devolução do veículo dentro de 7 dias após a compra.	Editorial		[]	False	[]	4478	
Vocês oferecem reembolso?	Dependendo das condições da compra e do motivo da devolução, oferecemos opções de reembolso. Consulte nossa equipe para mais informações.	Editorial		[]	False	[]	4479	
Qual é o prazo para devolução?	O prazo para devolução é de até 7 dias após a compra, conforme a política de arrependimento. Para condições específicas, entre em contato conosco.	Editorial		[]	False	[]	4480	
Posso trocar o carro depois de comprado?	Sim, é possível realizar a troca do veículo após a compra, dependendo das condições de mercado e da disponibilidade de estoque. Consulte nossa equipe para mais detalhes.	Editorial		[]	False	[]	4481	
Como funciona o processo de devolução?	O processo de devolução envolve a análise do veículo, verificação das condições acordadas e a restituição conforme a política da loja. Nossa equipe irá orientá-lo em cada etapa.	Editorial		[]	False	[]	4482	
Existem custos para devolução?	Dependendo das condições da devolução, pode haver custos administrativos. Consulte nossa política de devolução para mais detalhes.	Editorial		[]	False	[]	4483	
Vocês aceitam devolução após o test drive?	Sim, é possível devolver o veículo após o test drive, conforme as condições de arrependimento estabelecidas pela loja.	Editorial		[]	False	[]	4484	
É possível cancelar o contrato de financiamento?	Sim, é possível cancelar o contrato de financiamento, porém podem ser aplicadas taxas de cancelamento conforme as condições do contrato.	Editorial		[]	False	[]	4485	
Vocês têm taxa de cancelamento?	Sim, existe uma taxa de cancelamento para contratos de financiamento, que varia de acordo com as condições estabelecidas pela instituição financeira parceira.	Editorial		[]	False	[]	4486	
Vocês oferecem garantia de satisfação?	Sim, oferecemos uma garantia de satisfação que assegura que você esteja completamente satisfeito com sua compra. Entre em contato para mais detalhes.	Editorial		[]	False	[]	4487	
Existe multa por cancelamento?	Sim, pode haver uma multa por cancelamento do contrato de financiamento, conforme as condições estabelecidas no acordo firmado.	Editorial		[]	False	[]	4488	
Como funciona a troca dentro do prazo de garantia?	Se você desejar trocar o veículo dentro do prazo de garantia por qualquer motivo, nossa equipe irá auxiliá-lo no processo de troca conforme as políticas da loja.	Editorial		[]	False	[]	4489	
Posso devolver um carro financiado?	Sim, é possível devolver um carro financiado, porém é necessário quitar o saldo devedor e seguir as condições estabelecidas pelo contrato.	Editorial		[]	False	[]	4490	
Vocês oferecem reembolso integral?	Dependendo das condições da compra e do motivo da devolução, podemos oferecer reembolso integral ou parcial. Consulte nossa equipe para mais informações.	Editorial		[]	False	[]	4491	
Qual o prazo para resolução de cancelamento?	O prazo para resolução do cancelamento varia conforme a complexidade do caso e a instituição financeira envolvida. Geralmente, o processo é concluído em até 30 dias.	Editorial		[]	False	[]	4492	
Vocês aceitam devolução por defeito?	Sim, aceitamos devolução de veículos que apresentem defeitos de fabricação dentro do período de garantia. Nossa equipe irá auxiliá-lo no processo.	Editorial		[]	False	[]	4493	
Existe devolução por insatisfação?	Sim, respeitamos o direito de insatisfação do cliente e oferecemos opções de devolução conforme a política de arrependimento.	Editorial		[]	False	[]	4494	
Qual é a política de devolução para troca?	Nossa política de devolução para troca permite a troca do veículo dentro de um prazo específico e conforme as condições estabelecidas. Consulte nossos termos para mais detalhes.	Editorial		[]	False	[]	4495	
